!a | b
b R !c
GF!a
b | !c
FG!c
G(a & b)
b | Fc
a & !b
FG!a
!b U a
!a | c
a | !c
GF!c
a | !b
!b | c
a & !c
a | Fb
!a R b
FG!b
b R Fc
F(a | c)
!a & b
F(b & c)
!b & c
F(b | c)
!a R c
Fa U c
a & Gb
!c R a
GF!b
F(a | b)
F(a R c)
F(c R a)
G(a & c)
G(b U a)
a & Fc
!b R a
b | Fa
b U !a
Gc U a
c | Fb
Ga R b
b & !c
!a U b
!b R c
b U Gc
b U !c
Gb R c
!a & c
b | Gc
F(a & b)
a & Fb
a U !b
!c U a
c | Fa
a R Fc
c U !a
G(a U c)
c | Gb
b & Gc
a R !b
G(b U c)
c & Fb
c U Ga
a | Fc
Fb R c
a R Fb
a | Gb
c R Fa
c & Fa
Ga U b
G(a | c)
b & Fc
a | Gc
b U Ga
!a U c
b & Fa
c R !a
c | Ga
c & Ga
G(a | b)
Fb U c
Ga R c
G(b | c)
Gc R a
b | Ga
!b U c
G(b & c)
F(c R b)
a U Gb
a U !c
b R Fa
c R Fb
c & Gb
!c R b
!c U b
Fc U b
F(b R c)
b & Ga
F(a R b)
Fa R b
c R !b
a & Gc
a R !c
G(c U a)
b R !a
Ga U c
a U Gc
F(a & c)
G(a U b)
F(b R a)
Fc R b
Gb U a
Fc R a
c U !b
Gb R a
Fa R c
Fa U b
c U Gb
Gc R b
Gb U c
Gc U b
G(c U b)
Fb R a
Fc U a
Fb U a
